time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2025-07-20 00:00:00,29,17.2,49,0,,30,11.2,25.9,1007.9,,1
2025-07-20 01:00:00,28,16.9,51,0,,360,11.2,24.1,1008,,1
2025-07-20 02:00:00,27,16.9,54,0,,360,5.4,24.1,1007,,1
2025-07-20 03:00:00,26.7,17.2,56,0,,10,16.6,24.1,1007.5,,1
2025-07-20 04:00:00,27,16.9,54,0,,360,18.4,22.2,1007,,1
2025-07-20 05:00:00,26,16,54,0,,10,18.4,24.1,1007,,1
2025-07-20 06:00:00,25.2,15.5,55,0,,10,16.6,25.9,1006.9,,1
2025-07-20 07:00:00,26,15.1,51,0,,10,20.5,25.9,1007,,1
2025-07-20 08:00:00,28,14.9,45,0,,350,31.7,29.6,1007,,4
2025-07-20 09:00:00,29.2,14.2,40,0,0,360,25.9,35.2,1007.5,,1
2025-07-20 10:00:00,30,14.1,38,0,,350,27.7,37,1007,,1
2025-07-20 11:00:00,32,14.1,34,0,,350,29.5,40.8,1007,,1
2025-07-20 12:00:00,33.5,14,31,0,,340,33.5,44.5,1006.7,,1
2025-07-20 13:00:00,34,13.9,30,0,,350,27.7,23,1006,,1
2025-07-20 14:00:00,36,12.8,25,0,,340,24.1,50,1006,,1
2025-07-20 15:00:00,35.7,12,24,0,,330,38.9,50,1005.4,,1
2025-07-20 16:00:00,36,12.2,24,0,,340,37.1,50,1005,,1
2025-07-20 17:00:00,35,12,25,0,,330,42.5,51.8,1005,,1
2025-07-20 18:00:00,34.7,11.8,25,0,,330,38.9,57.4,1005.2,,1
2025-07-20 19:00:00,34,11.8,26,0,,330,37.1,59.3,1005,,1
2025-07-20 20:00:00,32,13.2,32,0,,330,33.5,55.5,1006,,4
2025-07-20 21:00:00,31,14.6,37,0,,340,31.3,50,1006.2,,1
2025-07-20 22:00:00,29,15.1,43,0,,10,18.4,44.5,1007,,1
2025-07-20 23:00:00,28,14.9,45,0,,10,16.6,40.8,1007,,1
